samples	response
Bp7901_Bp9886_MSHR1504WGS_ST326	1
Bp12042_MSHR13346_ST1877	0
Bp9675_Bp9876_MSHR11793WGS_ST325	1
Bp8784_Bp8784_MSHR4034WGS_ST109	0
Bp9636_Bp9842_MSHR7149WGS_ST144	0
Bp9689_Bp9812_MSHR11479WGS_ST46	1
Bp12022_MSHR12872_ST1699	0
Bp9706_Bp9765_MSHR9777WGS_ST562	0
Bp9637_Bp9843_MSHR7951WGS_ST36	0
Bp8872_Bp8872_Bp1826_ST58	0
Bp12052_MSHR13624_ST1763	1
Bp10019_ST1492	0
Bp0096_Bp0096_DL03_ST300	0
Bp12048_MSHR13102_ST1763	0
Bp8805-P20_Bp8805-P20L1_MSHR9170WGS_ST562	0
Bp6285_Bp6285_MSHR2056_STnovel	1
Bp0101_Bp0101_DL34_ST197	0
Bp6778_Bp6778_MSHR5087_ST881	1
Bp8050_Bp8050_MSHR5916WGS_ST36	1
Bp6293_Bp6293_MSHR2434_ST515	0
Bp9684_Bp9746_MSHR7961WGS_ST1344	0
Bp8806-P20_Bp8806-P20L1_MSHR9187WGS_ST146	1
Bp12039_MSHR13277_ST1877	0
Bp12044_MSHR12983_ST1763	0
Bp8058_Bp8058_MSHR6919WGS_ST36	1
Bp0094_Bp0094_DL28_ST70	1
Bp9738_Bp9881_MSHR2852WGS_ST995	1
Bp6738_Bp6738_MSHR1435_ST131	1
Bp9717_Bp9772_MSHR11551WGS_ST46	1
Bp9712_Bp9767_MSHR11345WGS_ST245	1
Bp8838_Bp8838_7406_ST325	0
Bp0044_Bp0044_2002721629_ST27	0
Bp9674_Bp9875_MSHR11763WGS_ST843	1
Bp0063_Bp0063_H054640145_ST344	0
Bp9659_Bp9860_MSHR11532WGS_ST46	0
Bp0051_Bp0051_2002721183_ST11	1
Bp0607_Bp0607_RF44-BP52_ST498	0
Bp8053_Bp8053_MSHR6540WGS_ST36	1
Bp9653_Bp9855_MSHR9800WGS_ST245	1
Bp12041_MSHR13345_ST1877	1
Bp12045_MSHR13019_ST1763	1
Bp8890_ST1005	1
Bp6267_Bp6267_MSHR139_ST326	0
Bp9709_Bp9808_MSHR9980WGS_STnovel	0
Bp1355_Bp1355_RF87-BP2_STnovel	1
Bp6746_Bp9885_MSHR1895_ST131	0
Bp8834_Bp8834_4117_ST144	1
Bp12023_MSHR13194_ST1699	1
Bp0103_Bp0103_DL36_ST17	1
Bp9039-P20_Bp9039-P20L1_PRsite23hole07P1GSplate1sub1_ST297	0
Bp6305_Bp6305_MSHR315_ST232	1
Bp9728_Bp9810_MSHR11469WGS_ST553	0
Bp9670_Bp9871_MSHR11677WGS_ST459	1
Bp6400_Bp6400_MSHR1285_ST131	0
Bp8809_Bp9900_MSHR9221WGS_ST325	0
Bp9620_Bp9826_MSHR4690WGS_ST562	1
Bp12046_MSHR13020_ST1763	1
Bp12038_MSHR13276_ST1877	0
Bp12055_MSHR13629_ST1763	1
Bp0074_Bp0074_DL01_ST206	0
Bp9618_Bp9824_MSHR4461WGS_ST279	1
Bp0104_Bp0104_DL37_ST209	1
Bp6294_Bp6294_MSHR2434_ST515	0
Bp9698_Bp9758_MSHR8314WGS_ST1344	1
Bp0062_Bp0062_6-CDC_ST46	1
Bp9649_Bp9851_MSHR9711WGS_ST326	0
Bp9619_Bp9825_MSHR4652WGS_ST553	1
Bp0059_Bp0059_G9709_ST43	1
Bp0065_Bp0065_2002721178_ST246	1
Bp6789_Bp6789_MSHR5107_ST881	0
Bp8056_Bp8056_MSHR6652WGS_ST36	0
Bp9623_Bp9829_MSHR5929WGS_ST36	1
Bp8598_ST102	1
Bp0619_Bp0619_RF49-BP2_ST526	0
Bp9652_Bp9854_MSHR9792WGS_ST562	1
Bp9688_Bp9749_MSHR2436WGS_ST109	1
Bp8881_Bp8881_Bp1972_ST60	1
Bp0097_Bp0097_DL30_STnovel	1
Bp12035_MSHR13271_ST1877	0
Bp9683_Bp9745_MSHR4441WGS_ST109	0
Bp9676_Bp9877_MSHR11878WGS_ST109	0
Bp6609_Bp9901_MSHR4378_ST1025	0
Bp0085_Bp0085_DL02_ST225	0
Bp9629_Bp9835_MSHR5936WGS_ST36	1
Bp8878_Bp8878_Bp1951_ST58	1
Bp9662_Bp9863_MSHR11554WGS_ST844	1
Bp6788_Bp6788_MSHR5105_ST881	1
Bp0066_Bp0066_2002734647_STnovel	0
Bp6780_Bp6780_MSHR5091_ST881	0
Bp9632_Bp9838_MSHR6146WGS_ST109	1
Bp9740_Bp9883_MSHR11600WGS_ST144	1
Bp9616_Bp9822_MSHR4308WGS_ST995	1
Bp9667_Bp9868_MSHR11674WGS_ST459	0
Bp7198_Bp9890_MSHR4181_ST279	1
Bp7969_Bp9894_MSHR6955WGS_ST325	0
Bp9611_Bp9817_MSHR2572WGS_ST132	1
Bp9615_Bp9821_MSHR4307WGS_ST1044	0
Bp9658_Bp9859_MSHR11528WGS_ST844	1
Bp8882_Bp8882_Bp1978_ST1005	1
Bp6513_Bp6513_MSHR0435_ST126	1
Bp9624_Bp9830_MSHR5931WGS_ST36	0
Bp0374_Bp0374_RF8-BP5_ST178	0
Bp7373_Bp9892_MSHR4515_ST562	0
Bp0371_Bp0371_RF8-BP2_ST227	0
Bp3982_Bp3982_Ubon-P45-Bp30_ST671	0
Bp0037_Bp0037_2002721785_ST84	0
Bp9651_Bp9853_MSHR9776WGS_ST562	1
Bp8803_Bp9898_MSHR9100WGS_ST36	1
Bp9703_Bp9762_MSHR9061WGS_ST483	0
Bp7225_Bp7225_MSHR7736_ST131	0
Bp9723_Bp9778_MSHR11641WGS_ST459	1
Bp3839_Bp3839_Ubon-P19-Bp34_ST670	1
Bp0064_Bp0064_2002721788_ST84	0
Bp9628_Bp9834_MSHR5935WGS_ST36	0
Bp0039_Bp0039_2002721184_ST11	1
Bp7233_Bp7233_MSHR7744_ST131	0
Bp0055_Bp0055_2002721786_ST84	1
Bp9669_Bp9870_MSHR11676WGS_ST459	1
Bp0107_Bp0107_DL04_ST9	1
Bp8833_Bp8833_4102_ST266	0
Bp8337_Bp9896_MSHR8768WGS_ST36	0
Bp12034_MSHR13252_ST1877	1
Bp8052_Bp8052_MSHR5930WGS_ST36	1
Bp0347_Bp0347_RF6-BP26_ST178	0
Bp8833-P20_Bp8833-P20L1_4102_ST266	0
Bp12026_MSHR14478_ST1699	0
Bp8047_Bp8047_MSHR5310WGS_ST36	0
Bp8874_Bp8874_Bp1837_ST93	1
Bp9739_Bp9882_MSHR11559WGS_STnovel	1
Bp0042_Bp0042_2002721739_ST84	0
Bp9690_Bp9750_MSHR2472WGS_ST132	1
Bp9640_Bp9845_MSHR9437WGS_ST325	1
Bp12031_MSHR13531_ST1877	0
Bp12029_MSHR13272_ST1877	1
Bp7921_Bp9888_MSHR2535WGS_ST109	1
Bp9718_Bp9773_MSHR11562WGS_ST109	1
Bp9648_Bp9850_MSHR9685WGS_ST109	0
Bp9707_Bp9806_MSHR9933WGS_ST673	0
Bp7176_Bp9887_MSHR2078_ST36	0
Bp9713_Bp9768_MSHR11347WGS_ST553	1
Bp0102_Bp0102_DL35_ST507	0
Bp9664_Bp9865_MSHR11593WGS_ST36	1
Bp9621_Bp9827_MSHR5069WGS_ST132	0
Bp6367_Bp6367_MSHR1046_ST131	0
Bp9685_Bp9747_MSHR7797WGS_ST109	1
Bp8618_Bp9891_MSHR4196WGS_ST109	0
Bp9633_Bp9839_MSHR7146WGS_ST144	1
Bp6781_Bp6781_MSHR5093_ST881	1
Bp8048_Bp8048_MSHR5311WGS_ST36	1
Bp9634_Bp9840_MSHR7147WGS_ST144	0
Bp9657_Bp9858_MSHR11485WGS_ST46	0
Bp9660_Bp9861_MSHR11533WGS_ST46	1
Bp9613_Bp9819_MSHR4305WGS_ST995	1
Bp9710_Bp9766_MSHR10221WGS_ST564	1
Bp9654_Bp9856_MSHR10365WGS_ST737	1
Bp8674_Bp9899_MSHR912WGS_ST337	0
Bp0123_Bp0123_DL09_STnovel	0
Bp8877_Bp8877_Bp1921_ST93	1
Bp0704_Bp0704_NRF57-BP67_ST70	1
Bp12043_MSHR12973_ST1763	1
Bp6415_Bp6415_MSHR1464_ST131	1
Bp8057_Bp8057_MSHR6725WGS_ST131	1
Bp8832_Bp8832_3946_ST320	1
Bp9635_Bp9841_MSHR7148WGS_ST144	0
Bp8835_Bp8835_4259_ST144	0
Bp9714_Bp9769_MSHR1588WGS_ST326	1
Bp12051_MSHR13523_ST1763	1
Bp0755_Bp0755_RF61-BP2_ST17	1
Bp9612_Bp9818_MSHR4304WGS_ST995	1
Bp6775_Bp6775_MSHR5080_ST50	0
Bp8056-P20_Bp8056-P20L1_MSHR6652WGS_ST36	1
Bp12024_MSHR14275_ST1699	0
Bp4183_Bp4183_PB08-298010_ST426	0
Bp9617_Bp9823_MSHR4343WGS_ST109	0
Bp8805_Bp8805_MSHR9170WGS_ST146	1
Bp12036_MSHR13273_ST1877	0
Bp8054_Bp8054_MSHR6541WGS_ST327	1
Bp8049_Bp8049_MSHR5913WGS_ST36	1
Bp12028_MSHR13251_ST1877	0
Bp9716_Bp9771_MSHR8909WGS_ST553	0
Bp9663_Bp9864_MSHR11567WGS_ST564	0
Bp9711_Bp9809_MSHR9360WGS_ST325	0
Bp12030_MSHR13274_ST1877	1
Bp9699_Bp9759_MSHR8392WGS_ST1377	0
Bp9721_Bp9776_MSHR11636WGS_STnovel	1
Bp12037_MSHR13275_ST1877	1
Bp0098_Bp0098_DL31_ST47	1
Bp9704_Bp9763_MSHR7145WGS_ST144	1
Bp9700_Bp9804_MSHR2188WGS_ST36	1
Bp9686_Bp9748_MSHR7723WGS_ST109	0
Bp8670_Bp9897_MSHR8952WGS_ST483	1
Bp9677_Bp9878_MSHR11596WGS_ST109	1
Bp0057_Bp0057_2002721637_ST72	0
Bp12017_ST92	0
Bp6301_Bp6301_MSHR3020_ST280	1
Bp3977_Bp3977_Ubon-P45-Bp25_ST671	0
Bp8832-P20_Bp8832-P20L1_3946_ST320	1
Bp0095_Bp0095_DL29_ST288	0
Bp12040_MSHR13304_ST1877	1
Bp3816_Bp3816_Ubon-P19-Bp11_ST670	0
Bp9631_Bp9837_MSHR5938WGS_ST109	1
Bp0040_Bp0040_2002721738_ST84	1
Bp0043_Bp0043_2006001614_ST343	0
Bp0082_Bp0082_DL17_ST48	1
Bp8835-P20_Bp8835-P20L1_4259_ST144	1
Bp9733_Bp9781_MSHR11546WGS_STnovel	0
Bp0050_Bp0050_2002721100_STtruncated	0
Bp9643_Bp9848_MSHR9465WGS_ST36	1
Bp8055_Bp8055_MSHR6542WGS_ST327	1
Bp8834-P20_Bp8834-P20L1_4117_ST144	0
Bp0079_Bp0079_DL14_ST177	1
Bp9622_Bp9828_MSHR5593WGS_ST885	0
Bp0060_Bp0060_2002721171_ST12	1
Bp10023_ST297	1
Bp9625_Bp9831_MSHR5932WGS_ST36	1
Bp8051_Bp8051_MSHR5922WGS_ST36	1
Bp7206_Bp9893_MSHR4546_ST553	1
Bp9661_Bp9862_MSHR11543WGS_STnovel	0
Bp0091_Bp0091_DL25_ST23	1
Bp8051-P20_Bp8051-P20L1_MSHR5922WGS_ST36	1
Bp9731_Bp9780_MSHR11502WGS_ST844	1
Bp3830_Bp3830_Ubon-P19-Bp25_ST670	1
Bp9705_Bp9764_MSHR9446WGS_ST36	1
Bp9708_Bp9807_MSHR9934WGS_ST673	1
Bp6458_Bp6458_MSHR1713_ST131	0
Bp9737_Bp9880_MSHR2495WGS_ST109	1
Bp9627_Bp9833_MSHR5934WGS_ST36	0
Bp9610_Bp9816_MSHR1869WGS_ST337	0
Bp9647_Bp9849_MSHR9684WGS_ST109	0
Bp9666_Bp9867_MSHR11671WGS_STnovel	0
Bp0089_Bp0089_DL23_STnovel	0
Bp0106_Bp0106_DL39_ST169	1
Bp9730_Bp9779_MSHR11486WGS_ST1377	0
Bp12049_MSHR13150_ST1763	1
Bp8879_Bp8879_Bp1954_ST58	1
Bp0049_Bp0049_2002721740_ST84	0
Bp9682_Bp9744_MSHR5990WGS_ST325	0
Bp7367_Bp9889_MSHR2545_ST320	0
Bp8055-P20_Bp8055-P20L1_MSHR6542WGS_ST327	1
Bp10043_STmissing	1
Bp9691_Bp9751_MSHR4758WGS_ST132	1
Bp9715_Bp9770_MSHR2575WGS_ST979	1
Bp0068_Bp0068_Green_STnovel	0
Bp9039_Bp9039_PRsite23hole07P1GSplate1sub1_ST297	0
Bp8806_Bp8806_MSHR9187WGS_ST562	1
Bp8884_ST1005	1
Bp8883_Bp8883_Bp2001_ST60	1
Bp0052_Bp0052_2002721640_ST9	1
Bp8000_Bp9895_MSHR8005WGS_ST553	1
Bp6269_Bp6269_MSHR141_ST326	1
Bp9650_Bp9852_MSHR9755WGS_ST480	1
Bp0058_Bp0058_2002721789_ST84	1
Bp9671_Bp9872_MSHR11686WGS_ST459	0
Bp0088_Bp0088_DL22_ST158	0
Bp6779_Bp6779_MSHR5089_ST881	0
Bp9110_Bp9110_PRsite23hole09try2P1sub1_ST297	0
Bp6304_Bp6304_MSHR314_ST58	0
Bp4160_Bp4160_MSHR1043_ST131	1
Bp4165_Bp4165_MSHR1288_ST131	0
Bp12032_MSHR13532_ST1877	1
Bp8876_Bp8876_Bp1864_ST93	1
Bp9672_Bp9873_MSHR11753WGS_ST553	1
Bp12050_MSHR13149_ST1763	1
Bp9642_Bp9847_MSHR9449WGS_ST109	0
Bp6270_Bp6270_MSHR141_STnovel	0
Bp9729_Bp9811_MSHR11473WGS_ST46	0
Bp9722_Bp9777_MSHR11640WGS_ST109	0
Bp6774_Bp6774_MSHR5079_ST50	1
Bp9678_Bp9879_MSHR11685WGS_ST459	0
Bp6782_Bp6782_MSHR5095_ST881	1
Bp0045_Bp0045_2002721628_ST6	1
Bp12033_MSHR13535_ST1877	0
Bp9741_Bp9884_MSHR12113_ST114	0
Bp9656_Bp9857_MSHR11470WGS_ST553	0
Bp0245_Bp0245_RF4-BP80_ST392	0
Bp8870_Bp8870_Bp1798_ST93	1
Bp9736_Bp9902_MSHR8019WGS_ST131	0
